from,to,approx,actual,diff,ratio
鶴岡八幡宮,鎌倉国宝館,1.0,1.1,-0.1,0.87
鶴岡八幡宮,源頼朝の墓,9.7,10.5,-0.8,0.93
鶴岡八幡宮,宝戒寺,8.2,7.3,0.9,1.12
鶴岡八幡宮,報国寺,27.6,20.6,7.0,1.34
鶴岡八幡宮,杉本寺,22.3,16.2,6.1,1.37
鶴岡八幡宮,浄妙寺,29.2,22.0,7.2,1.33
鶴岡八幡宮,瑞泉寺,36.5,26.2,10.3,1.39
鶴岡八幡宮,高徳院,43.9,39.0,4.9,1.13
鶴岡八幡宮,長谷寺,53.0,37.4,15.6,1.42
鶴岡八幡宮,御霊神社,55.5,40.5,15.0,1.37
鶴岡八幡宮,鎌倉文学館,40.0,31.7,8.3,1.26
鶴岡八幡宮,光則寺,53.5,37.8,15.7,1.41
鶴岡八幡宮,極楽寺,63.9,45.1,18.8,1.42
鶴岡八幡宮,成就院,60.6,41.9,18.7,1.45
鶴岡八幡宮,稲村ヶ崎,76.2,49.3,26.9,1.55
鶴岡八幡宮,七里ヶ浜,94.3,64.5,29.8,1.46
鶴岡八幡宮,鎌倉高校前駅,114.1,79.8,34.3,1.43
鶴岡八幡宮,銭洗弁財天宇賀福神社,26.5,24.2,2.3,1.1
鶴岡八幡宮,佐助稲荷神社,32.3,29.2,3.1,1.11
鶴岡八幡宮,寿福寺,11.7,8.8,2.9,1.33
鶴岡八幡宮,葛原岡神社,26.7,24.8,1.9,1.08
鶴岡八幡宮,妙本寺,18.8,17.5,1.3,1.07
鶴岡八幡宮,安国論寺,32.8,24.9,7.9,1.32
鶴岡八幡宮,光明寺,51.0,36.7,14.3,1.39
鶴岡八幡宮,由比ヶ浜,46.0,28.5,17.5,1.61
鶴岡八幡宮,荏柄天神社,15.4,12.8,2.6,1.21
鶴岡八幡宮,半僧坊,22.2,21.5,0.7,1.03
小町通り,鎌倉国宝館,14.0,9.6,4.4,1.46
